hour,day_of_week,temperature,precipitation,event,congestion
8,2,-15,10,0,1
17,5,20,0,1,1
11,1,3,2,0,0
19,6,-10,8,1,1
7,0,12,5,0,1
22,3,-25,0,0,0
15,4,30,1,0,0
9,6,-18,12,1,1
13,2,10,3,0,0
18,5,5,7,0,1
8,1,-12,15,1,1
16,2,25,0,0,0
20,4,-5,9,1,1
6,0,-20,0,0,0
21,6,8,6,0,1
14,3,28,2,0,0
23,5,-30,11,1,1
10,1,0,0,0,0
12,2,5,4,0,0
7,5,-8,13,1,1
18,3,15,0,0,1
9,4,2,1,0,0
19,6,-5,14,1,1
22,0,-12,3,0,0
8,1,5,0,0,1
17,2,20,8,1,1
13,5,10,6,0,0
7,0,-18,15,1,1
21,4,25,0,0,1
15,3,30,12,1,1
10,6,-10,2,0,0
18,2,5,13,1,1
23,1,-22,7,0,1
20,5,-8,11,1,1
11,4,2,0,0,0
14,6,12,5,0,0
6,2,-25,9,1,1
19,3,8,0,0,1
9,1,10,3,0,0
22,5,-15,6,1,1
8,0,-5,4,0,1
17,6,18,0,0,1
12,3,7,2,0,0
21,2,-20,15,1,1
15,1,30,3,0,0
7,4,-12,10,1,1
18,0,5,8,1,1
13,6,20,1,0,0
10,2,-18,12,1,1
19,5,15,0,0,1
23,4,-25,5,0,1
9,0,12,7,0,1
20,3,-10,9,1,1
14,1,28,0,0,0
6,5,-8,11,1,1
22,2,2,2,0,0
8,6,-12,13,1,1
17,0,25,4,0,1
11,3,0,6,0,0
21,5,-30,14,1,1
15,2,18,1,0,0
7,1,-20,9,1,1
18,4,10,3,0,1
13,0,5,5,0,0
